index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
1,Paul Christie (musician),https://en.wikipedia.org/?curid=21534806,4796,528,1.0,101.89318656921387,2025-11-15T13:34:52.079394,528
2,Michael Mirolla,https://en.wikipedia.org/?curid=48084394,1568,343,0.49300000000000005,101.27735137939453,2025-11-15T13:34:52.181020,343
3,Thillalangadi,https://en.wikipedia.org/?curid=23900668,8683,516,0.666,102.36883163452148,2025-11-15T13:34:52.283744,516
4,Foothill Horizons Outdoor School,https://en.wikipedia.org/?curid=26217405,959,213,0.3589,100.9070873260498,2025-11-15T13:34:52.384945,213
5,List of Hapoel Hadera F.C. seasons,https://en.wikipedia.org/?curid=53730169,925,189,0.33149999999999996,100.88038444519043,2025-11-15T13:34:52.486183,189
6,Dave Naylor,https://en.wikipedia.org/?curid=63811735,380,83,0.17099999999999999,100.55088996887207,2025-11-15T13:34:52.587109,83
7,Oliver Duff Greene,https://en.wikipedia.org/?curid=22308780,1039,217,0.367,101.02605819702148,2025-11-15T13:34:52.688448,217
8,Trapdoor Fucking Exit,https://en.wikipedia.org/?curid=38673869,788,181,0.30979999999999996,101.45306587219238,2025-11-15T13:34:52.790374,181
9,Vogelsang (Bavarian Forest),https://en.wikipedia.org/?curid=27733987,501,153,0.2531,100.61240196228027,2025-11-15T13:34:52.891346,153
10,Alberto Leanizbarrutia,https://en.wikipedia.org/?curid=45683136,392,96,0.18519999999999998,100.59642791748047,2025-11-15T13:34:52.992336,96
11,Noriko Sakai discography,https://en.wikipedia.org/?curid=68431389,341,53,0.1371,100.49009323120117,2025-11-15T13:34:53.093177,53
12,Gasparia lomasi,https://en.wikipedia.org/?curid=78999200,671,167,0.2841,101.37152671813965,2025-11-15T13:34:53.194934,167
13,2000 FIFA Club World Championship,https://en.wikipedia.org/?curid=3393061,4636,438,0.5880000000000001,102.01573371887207,2025-11-15T13:34:53.297666,438
14,Carnage (band),https://en.wikipedia.org/?curid=2415622,1309,332,0.48200000000000004,101.20725631713867,2025-11-15T13:34:53.400420,332
15,Kenvue,https://en.wikipedia.org/?curid=73601061,7349,462,0.6120000000000001,102.21338272094727,2025-11-15T13:34:53.502961,462
16,Aizuma Station,https://en.wikipedia.org/?curid=18416706,1170,272,0.422,101.00531578063965,2025-11-15T13:34:53.604261,272
17,Mick Murray,https://en.wikipedia.org/?curid=18981441,356,77,0.16260000000000002,100.6314754486084,2025-11-15T13:34:53.705187,77
18,Miroslav Šmíd,https://en.wikipedia.org/?curid=45248330,2801,527,0.677,101.6848087310791,2025-11-15T13:34:53.807267,527
19,Muhammadu Dikko Yusufu,https://en.wikipedia.org/?curid=25195623,4306,484,0.634,102.22625732421875,2025-11-15T13:34:53.909862,484
20,Most favoured nation,https://en.wikipedia.org/?curid=381424,11655,417,0.5670000000000001,101.6392707824707,2025-11-15T13:34:54.011847,417
21,Vyshchi Lubianky,https://en.wikipedia.org/?curid=77401154,872,278,0.4152,100.82697868347168,2025-11-15T13:34:54.113037,278
